# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = ./ex_toy01/init.json
# random
#   seed = 2996367183 (Default)
# output
#   file = ./ex_toy01/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.048678
# Diagonal elements of inverse mass matrix:
# 1, 1
23.4146,1,0.048678,2,3,0,-22.9104,-0.937924,0.416687
23.7135,0.975547,0.048678,2,7,0,-21.0652,-1.042,0.328202
23.722,0.843871,0.048678,1,3,0,-19.9682,-1.07029,0.3754
23.1078,0.953922,0.048678,2,7,0,-22.3241,-0.928821,0.422067
23.493,0.991094,0.048678,2,7,0,-22.4581,-1.06214,0.336925
23.8922,0.98882,0.048678,2,3,0,-22.9937,-0.928153,0.373202
23.4512,0.91206,0.048678,2,7,0,-22.5018,-1.05957,0.333253
22.3634,0.998989,0.048678,2,3,0,-22.0495,-0.949473,0.303658
22.3307,0.900301,0.048678,2,3,0,-20.98,-1.08207,0.324895
23.3259,1,0.048678,1,1,0,-22.4707,-1.05746,0.328157
24.0904,0.899104,0.048678,2,7,0,-22.3429,-0.95366,0.338037
23.1745,0.804534,0.048678,2,7,0,-20.8235,-0.923145,0.415123
23.9264,0.996969,0.048678,2,7,0,-23.2079,-1.06172,0.377143
24.0076,1,0.048678,2,3,0,-23.7206,-1.05922,0.3692
23.6271,0.916605,0.048678,1,1,0,-23.5423,-1.07374,0.367191
24.2044,1,0.048678,2,7,0,-23.0279,-1.04176,0.346624
24.2307,1,0.048678,2,3,0,-24.1045,-0.950368,0.34812
24.427,1,0.048678,3,7,0,-24.2466,-0.963381,0.347164
24.5245,1,0.048678,2,3,0,-24.4213,-1.02906,0.357182
24.0379,0.902676,0.048678,3,7,0,-23.2375,-1.04569,0.342053
23.461,0.868238,0.048678,1,3,0,-22.5844,-1.07867,0.363642
24.0363,1,0.048678,2,3,0,-23.2961,-0.938018,0.384062
24.2923,1,0.048678,1,1,0,-24.0659,-0.953604,0.384809
23.9148,0.975319,0.048678,2,3,0,-23.7524,-1.03822,0.405924
21.6418,0.839058,0.048678,2,3,0,-20.8255,-1.11077,0.432572
22.2612,0.973987,0.048678,2,7,0,-21.3308,-0.878951,0.390513
23.4129,1,0.048678,1,1,0,-22.436,-0.916715,0.395353
23.8222,0.995785,0.048678,2,7,0,-23.2328,-1.06174,0.351426
24.0285,0.976282,0.048678,2,3,0,-23.1822,-0.943953,0.392743
24.2464,1,0.048678,1,1,0,-24.0491,-0.960223,0.393525
23.405,0.986592,0.048678,3,7,0,-23.3178,-1.03859,0.424789
24.2038,0.985548,0.048678,2,7,0,-22.8244,-0.966901,0.334417
24.4036,1,0.048678,1,1,0,-24.2409,-0.979325,0.337266
24.6484,0.928708,0.048678,2,7,0,-23.8489,-1.00809,0.378354
23.5294,0.838942,0.048678,2,3,0,-23.0661,-1.07199,0.39287
23.4709,0.996473,0.048678,2,7,0,-23.0227,-0.929279,0.336746
24.4995,0.923707,0.048678,2,3,0,-22.8636,-0.975502,0.34334
24.4421,0.94604,0.048678,3,7,0,-23.9016,-1.01083,0.338372
22.4626,0.616042,0.048678,2,3,0,-21.0248,-1.10319,0.355819
24.1502,0.977497,0.048678,2,7,0,-22.2344,-0.968506,0.331886
24.4603,0.853026,0.048678,2,7,0,-22.8684,-1.01619,0.389266
24.6633,0.999629,0.048678,2,3,0,-24.4584,-1.00279,0.378609
24.5957,0.997256,0.048678,2,3,0,-24.581,-1.00126,0.384465
23.8777,0.869041,0.048678,2,3,0,-23.3053,-0.95348,0.407366
23.825,0.985986,0.048678,3,7,0,-23.6263,-0.938328,0.39881
23.97,0.997238,0.048678,3,7,0,-23.5556,-1.03861,0.403235
21.757,0.719522,0.048678,2,7,0,-19.2573,-0.94502,0.2976
21.757,0.861177,0.048678,1,1,0,-21.108,-0.94502,0.2976
23.8381,1,0.048678,2,3,0,-21.8525,-1.01989,0.322156
23.9768,0.987048,0.048678,2,3,0,-23.1613,-0.972866,0.32537
23.6329,0.97531,0.048678,2,3,0,-23.3273,-0.995022,0.314852
24.1389,0.921315,0.048678,2,3,0,-23.2403,-1.03102,0.335135
24.5057,1,0.048678,3,7,0,-24.165,-0.959924,0.362523
24.4316,0.992325,0.048678,2,7,0,-23.8482,-0.968986,0.343215
23.52,0.879828,0.048678,2,7,0,-21.8753,-0.948733,0.418817
24.0596,0.990181,0.048678,2,7,0,-23.4243,-1.03479,0.401303
23.8262,0.935578,0.048678,2,7,0,-23.0729,-0.970817,0.416065
24.7343,0.994355,0.048678,2,7,0,-23.7529,-1.00577,0.361795
24.4735,0.988135,0.048678,2,7,0,-24.3052,-0.98953,0.392027
24.5252,0.99984,0.048678,2,3,0,-24.4353,-1.00388,0.388784
24.1164,0.935152,0.048678,2,3,0,-24.0072,-1.04554,0.389687
23.9127,0.946299,0.048678,2,3,0,-23.2833,-0.935079,0.349206
23.9443,1,0.048678,2,7,0,-23.8514,-1.05707,0.351593
24.4484,0.960644,0.048678,1,3,0,-23.3054,-0.983551,0.338024
24.4457,0.81028,0.048678,2,7,0,-23.0805,-1.02112,0.387832
