# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = 2 (Default)
# random
#   seed = 2996315998 (Default)
# output
#   file = ./ex_toy01/output.txt
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.723008
# Diagonal elements of inverse mass matrix:
# 0.00279455, 0.0110958
24.5251,0.992589,0.723008,2,3,0,-24.1417,-1.03069,0.366893
22.8274,0.805388,0.723008,2,3,0,-22.4259,-1.06326,0.320974
24.674,1,0.723008,2,3,0,-23.0088,-0.980551,0.354292
24.4714,0.959937,0.723008,2,3,0,-24.1576,-1.0317,0.354756
24.2379,0.986048,0.723008,3,7,0,-24.1971,-1.03991,0.346573
24.7483,1,0.723008,2,3,0,-24.3016,-0.998416,0.360103
24.6241,0.96854,0.723008,1,3,0,-24.4435,-0.970159,0.367219
24.7277,0.9971,0.723008,2,3,0,-24.5669,-1.001,0.356015
24.7219,0.989288,0.723008,3,7,0,-24.5905,-0.993185,0.372458
24.6996,0.982162,0.723008,1,3,0,-24.5173,-0.989179,0.352708
24.6323,0.994025,0.723008,3,7,0,-24.5878,-1.01908,0.371567
24.5893,0.994304,0.723008,1,1,0,-24.5805,-1.02456,0.369675
24.4592,0.925955,0.723008,3,7,0,-23.4936,-0.95713,0.370601
24.6828,0.978464,0.723008,2,3,0,-24.1049,-0.989719,0.350784
24.4577,0.915468,0.723008,2,3,0,-23.8566,-1.03549,0.36776
24.223,0.901646,0.723008,2,3,0,-23.2347,-1.04292,0.384871
23.2298,0.842703,0.723008,3,7,0,-21.823,-0.90492,0.373495
23.52,1,0.723008,1,1,0,-23.1975,-0.914316,0.374249
24.0735,0.996153,0.723008,2,7,0,-23.1653,-0.984756,0.409633
24.3404,1,0.723008,2,3,0,-24.0975,-0.982582,0.397799
24.2351,0.993823,0.723008,2,7,0,-23.9536,-0.943416,0.367856
24.2848,0.989312,0.723008,3,7,0,-23.8764,-1.04586,0.364401
