# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_mixture_model
# start_datetime = 2021-05-27 02:58:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy02/inputs.json
# init = 2 (Default)
# random
#   seed = 3001794802 (Default)
# output
#   file = ./ex_toy02/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,sigma
# Adaptation terminated
# Step size = 0.0623868
# Diagonal elements of inverse mass matrix:
# 1, 1, 1
-92.8526,0.948223,0.0623868,2,3,0,93.03,0.404569,-0.939644,0.363122
-91.648,0.993196,0.0623868,3,7,0,93.1652,0.439497,-1.01888,0.354027
-92.3279,0.757336,0.0623868,3,7,0,93.9291,0.477114,-0.871458,0.365092
-91.6573,1,0.0623868,2,7,0,93.1854,0.498021,-0.879945,0.379593
-91.5947,1,0.0623868,2,3,0,91.9883,0.496302,-1.04337,0.356237
-93.1609,0.955252,0.0623868,3,15,0,94.2249,0.441435,-0.919261,0.324971
-92.2174,1,0.0623868,3,7,0,94.2297,0.485138,-1.04836,0.395466
-92.4875,0.952458,0.0623868,2,3,0,92.9535,0.480579,-0.897243,0.333546
-91.4692,1,0.0623868,3,11,0,93.4014,0.575464,-0.948673,0.387913
-92.8313,0.891397,0.0623868,2,7,0,93.1368,0.60182,-0.833247,0.368988
-92.3037,0.789693,0.0623868,2,3,0,95.3322,0.586805,-1.00736,0.357083
-91.9539,0.95794,0.0623868,3,9,0,93.9102,0.475051,-1.05019,0.381583
-92.462,0.979856,0.0623868,3,11,0,93.7958,0.594772,-0.999517,0.375983
-91.8329,0.996009,0.0623868,2,7,0,92.903,0.536902,-0.863957,0.36645
-91.3303,0.996546,0.0623868,3,11,0,94.261,0.572889,-0.904899,0.370641
-92.8247,0.739753,0.0623868,2,7,0,94.0138,0.622944,-0.940646,0.407617
-92.6654,0.966345,0.0623868,3,7,0,93.8231,0.588478,-0.930467,0.4374
-94.4696,0.910341,0.0623868,3,7,0,96.1627,0.527084,-0.783549,0.501677
-94.7992,0.890752,0.0623868,3,7,0,96.9639,0.550068,-0.742895,0.512092
-91.8622,0.780471,0.0623868,3,7,0,96.527,0.572404,-0.907627,0.421297
-92.1569,0.912774,0.0623868,4,15,0,93.4511,0.516229,-0.848384,0.412418
-91.1752,0.996428,0.0623868,3,7,0,92.4704,0.498722,-1.0052,0.378728
-91.0111,0.958883,0.0623868,2,3,0,91.4927,0.495321,-0.949339,0.346184
-91.0837,0.986662,0.0623868,3,11,0,91.322,0.536176,-0.976495,0.380901
-91.6271,0.894731,0.0623868,2,7,0,92.6983,0.574505,-0.975664,0.381139
-93.8057,0.988949,0.0623868,3,15,0,94.5697,0.667486,-0.89671,0.378632
-92.7321,0.889176,0.0623868,3,15,0,96.2532,0.608144,-0.896068,0.339718
-92.4929,1,0.0623868,3,7,0,93.0935,0.596531,-0.923813,0.428938
-93.0736,0.996451,0.0623868,3,7,0,93.7313,0.62869,-0.831939,0.453855
-93.9977,0.85414,0.0623868,3,7,0,95.1549,0.593263,-0.792458,0.505815
-94.4903,0.922507,0.0623868,2,7,0,96.9045,0.648846,-0.722013,0.434031
-93.2224,0.65636,0.0623868,2,7,0,97.7565,0.601227,-0.773355,0.445252
-94.3549,0.982407,0.0623868,3,7,0,95.9049,0.52986,-0.84568,0.507978
-95.3606,0.892085,0.0623868,3,11,0,97.8666,0.660329,-0.942577,0.45768
-91.929,0.969904,0.0623868,3,7,0,95.0334,0.605725,-0.903736,0.36754
-92.1373,0.896991,0.0623868,2,7,0,92.9026,0.577261,-0.894102,0.432561
-90.9074,0.80771,0.0623868,2,7,0,93.9417,0.540725,-0.961776,0.368003
-91.7933,0.780496,0.0623868,3,11,0,93.6579,0.478351,-1.03684,0.333214
-91.6754,0.999496,0.0623868,3,15,0,92.3516,0.576377,-0.925739,0.407121
-93.865,0.933779,0.0623868,3,15,0,95.2757,0.602116,-0.769042,0.497329
-96.4999,0.915945,0.0623868,3,15,0,97.6022,0.766475,-0.660793,0.461123
-95.4027,1,0.0623868,2,3,0,96.677,0.745324,-0.732992,0.523801
-97.5047,0.817501,0.0623868,4,31,0,101.41,0.839738,-0.618802,0.64054
-97.9086,0.983363,0.0623868,3,15,0,98.7294,0.816716,-0.596517,0.472991
-95.8178,0.959549,0.0623868,2,3,0,98.2396,0.807625,-0.627735,0.53383
-96.1111,0.938646,0.0623868,2,7,0,96.4499,0.800756,-0.592535,0.516227
-95.7708,0.996786,0.0623868,3,7,0,96.4073,0.793875,-0.661309,0.552167
-95.9035,0.886709,0.0623868,3,7,0,97.5315,0.767447,-0.692539,0.475253
-94.7942,0.970505,0.0623868,3,15,0,96.6877,0.694163,-0.668519,0.522004
-95.0102,0.995936,0.0623868,3,15,0,95.6252,0.734987,-0.686953,0.528161
-93.7339,0.920608,0.0623868,3,15,0,97.0712,0.668226,-0.782719,0.451854
-94.3017,0.916685,0.0623868,2,3,0,94.396,0.669107,-0.726177,0.449775
-94.0538,0.925633,0.0623868,4,15,0,94.9498,0.659619,-0.865799,0.462579
-93.3701,0.825095,0.0623868,3,11,0,96.5852,0.489156,-0.839369,0.356945
-91.2337,0.916814,0.0623868,2,7,0,94.5284,0.480538,-1.02159,0.357289
-91.1479,0.715359,0.0623868,2,7,0,94.126,0.527419,-0.913424,0.394838
-92.0222,0.934064,0.0623868,3,11,0,93.3832,0.436142,-0.942516,0.347451
-91.7978,1,0.0623868,3,7,0,92.1215,0.451982,-1.03742,0.376043
-91.0846,0.886731,0.0623868,2,5,0,92.6281,0.474469,-0.95048,0.35519
-91.8396,0.91481,0.0623868,2,7,0,92.1321,0.490239,-1.00686,0.406265
-91.8033,0.981104,0.0623868,2,7,0,92.8333,0.497573,-0.920485,0.421251
