# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = laplacian_prior_model
# start_datetime = 2021-05-27 03:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./laplacian_prior/psi2.json
# init = 2 (Default)
# random
#   seed = 3005167328 (Default)
# output
#   file = ./laplacian_prior/output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,s
# Adaptation terminated
# Step size = 0.169025
# Diagonal elements of inverse mass matrix:
# 1, 1
-3.73775,0.935301,0.169025,2,3,0,4.32083,0.346159,0.172992
-2.38338,0.825712,0.169025,2,7,0,4.71444,0.104709,0.227285
-1.88906,0.969969,0.169025,2,7,0,4.19875,0.118433,0.161343
-1.42353,0.933567,0.169025,2,3,0,1.99086,7.32707e-05,0.141644
-1.39325,0.966092,0.169025,3,7,0,1.74376,-0.0469714,0.13226
-2.41957,0.529393,0.169025,2,7,0,3.81849,0.0405444,0.240114
-1.62191,0.880915,0.169025,3,7,0,2.54184,-0.0643442,0.15265
-1.78675,0.96823,0.169025,1,1,0,1.79772,-0.101615,0.157124
-2.4454,0.996004,0.169025,2,7,0,2.73905,0.0322409,0.243249
-1.49063,0.994704,0.169025,2,5,0,3.05514,-0.0143389,0.147915
-1.49063,0.478695,0.169025,1,3,0,4.89674,-0.0143389,0.147915
-1.4985,0.970634,0.169025,2,3,0,1.64744,-0.0495172,0.143168
-2.18915,0.552405,0.169025,2,7,0,3.02511,-0.15781,0.179871
-2.21784,0.787895,0.169025,2,3,0,3.42867,0.176263,0.161895
-2.97702,0.752051,0.169025,1,1,0,3.1233,0.258498,0.151528
-2.16345,0.853238,0.169025,2,5,0,3.97108,0.167249,0.122838
-2.74772,1,0.169025,3,7,0,3.22145,0.100894,0.267272
-2.32407,0.997031,0.169025,1,3,0,2.99351,0.0258567,0.231349
-1.87339,0.968204,0.169025,3,7,0,2.6391,0.120586,0.157328
-2.81019,0.683337,0.169025,2,7,0,5.51179,0.19911,0.107025
-1.09653,0.666667,0.169025,1,3,0,2.41127,-0.0580178,0.0853955
-1.09653,0.185462,0.169025,1,1,0,1.30514,-0.0580178,0.0853955
-1.80536,0.55314,0.169025,2,5,1,3.62855,0.0658584,0.172682
-1.83542,0.949745,0.169025,3,7,0,2.12533,0.100478,0.164211
-2.23821,0.551089,0.169025,2,3,0,5.71397,0.177725,0.165684
-1.67218,0.82884,0.169025,2,7,0,2.6261,-0.0819782,0.152018
-1.56152,0.97834,0.169025,2,7,0,2.17561,0.104123,0.112186
-1.25255,0.95528,0.169025,2,7,0,1.51538,-0.0665239,0.103716
-3.05147,0.269372,0.169025,3,12,1,3.78916,-0.186731,0.283028
-3.02207,1,0.169025,2,3,0,3.07798,-0.184027,0.280297
-2.0284,0.632656,0.169025,2,7,0,3.25883,0.0647702,0.196922
-2.36746,0.710338,0.169025,2,7,0,3.77638,0.180188,0.116715
-2.19225,1,0.169025,2,3,0,2.78193,0.171102,0.125526
-3.16933,0.587915,0.169025,2,3,0,4.18785,-0.276653,0.153176
-1.6517,0.950251,0.169025,1,3,0,3.21284,0.0476922,0.160107
-5.55812,0.595087,0.169025,3,7,0,6.55816,0.322748,0.537605
-4.6214,0.98057,0.169025,3,7,0,7.48764,-0.538803,0.320643
-5.72813,0.960824,0.169025,2,7,0,6.09375,-0.669292,0.472116
-4.82225,0.992997,0.169025,2,3,0,6.31288,-0.529744,0.38946
-2.70224,0.908723,0.169025,2,7,0,7.05834,0.234781,0.202551
-1.67883,0.882481,0.169025,2,7,0,2.90738,0.0513366,0.16226
-2.31247,0.568911,0.169025,2,5,0,3.12105,0.184238,0.129909
-2.20458,0.220064,0.169025,2,3,0,4.27598,0.155108,0.100602
-2.04827,0.688558,0.169025,2,5,0,3.53931,-0.124658,0.180395
-1.9121,1,0.169025,2,3,0,2.0945,0.105332,0.171839
-1.72696,0.782207,0.169025,2,3,0,4.55114,0.0471381,0.168171
-1.93385,0.994964,0.169025,2,3,0,1.99352,0.0836213,0.182316
-1.69292,0.649902,0.169025,2,7,0,2.31785,-0.0665607,0.160014
-1.66381,0.926252,0.169025,2,7,0,2.23255,-0.115864,0.110478
-1.7981,1,0.169025,2,7,0,2.25085,0.104095,0.157267
-2.99101,0.785265,0.169025,2,7,0,3.1928,-0.280861,0.199538
-2.69834,0.854814,0.169025,2,7,0,3.49224,0.0811846,0.264754
-2.56947,0.941182,0.169025,4,15,0,3.27287,-0.192124,0.217457
-2.29528,0.928174,0.169025,1,3,0,3.31893,0.0694421,0.224288
-1.22177,0.737168,0.169025,3,9,1,2.76046,0.0711768,0.0722298
-1.22177,0.0918925,0.169025,3,7,0,1.30209,0.0711768,0.0722298
