# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b5.json
# init = 2 (Default)
# random
#   seed = 4207672239 (Default)
# output
#   file = ./regression_normal/output_b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.194889
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-25.1505,0.961658,0.194889,4,31,0,25.4008,-1.20829,15.4955,3.91643,1.02223
-25.1556,0.974579,0.194889,3,15,0,26.9477,-1.17492,15.8027,3.46328,0.874287
-24.6078,0.979606,0.194889,5,55,0,27.143,9.53634,9.98353,2.88446,3.34588
-23.3598,0.999931,0.194889,4,23,0,25.2169,7.53372,11.8372,2.40006,5.04364
-25.2574,0.744776,0.194889,2,7,0,25.6596,7.75631,11.983,4.04447,4.88654
-23.0988,1,0.194889,2,3,0,24.8788,7.75152,11.8688,2.32569,4.41093
-23.2904,0.939667,0.194889,5,47,0,25.3081,3.26489,13.6668,3.20083,1.88326
-26.7731,0.871672,0.194889,4,15,0,27.2891,3.31672,11.7463,5.33498,1.90009
-28.7877,0.754015,0.194889,4,31,0,32.8547,0.787929,18.778,7.40191,1.61008
-23.1088,0.945009,0.194889,4,31,0,30.5342,1.12038,14.8786,3.31566,1.45894
-26.1033,0.909781,0.194889,4,31,0,26.3124,1.56717,12.7681,5.37207,1.0097
-26.2687,0.901273,0.194889,3,15,0,32.0828,3.07329,14.2699,4.12706,5.46939
-24.1425,0.973962,0.194889,4,23,0,27.9776,5.05407,12.8152,2.42875,4.54124
-24.1665,0.988555,0.194889,2,7,0,24.7628,5.02847,13.0884,3.33992,4.75009
-23.6789,0.977129,0.194889,5,47,0,25.3686,8.86071,10.9681,3.08462,4.4099
-23.7316,0.979144,0.194889,5,35,0,25.7594,9.16795,10.819,2.83716,3.58038
-23.5449,0.944346,0.194889,2,7,0,24.7264,9.01019,10.4976,2.28083,4.26452
-23.6979,0.495171,0.194889,2,7,0,28.7615,8.81907,10.9362,2.34989,5.72332
-23.1181,0.999031,0.194889,4,19,0,23.8858,8.1649,11.4437,2.32622,3.70606
-23.7279,0.891514,0.194889,5,47,0,25.7315,4.23748,14.9736,2.73583,2.55008
-24.493,0.936257,0.194889,4,15,0,25.1868,2.2578,13.3942,4.39762,1.57664
-25.772,0.983502,0.194889,5,55,0,27.7237,9.4863,12.3093,2.29815,5.60981
-27.0701,0.40741,0.194889,2,3,0,30.5966,9.53495,11.7217,4.06343,6.9233
-24.172,1,0.194889,2,3,0,27.5051,9.59831,11.3785,2.35305,3.49511
-24.3929,0.855774,0.194889,3,15,0,26.015,8.33382,10.366,2.84781,5.40277
-24.4656,0.903962,0.194889,3,7,0,25.649,8.6118,11.0437,3.2931,3.18548
-23.8317,0.952205,0.194889,5,53,0,26.0602,6.53265,12.3057,2.91996,2.42657
-25.626,0.801404,0.194889,2,3,0,26.6163,6.65845,12.4556,2.14878,1.99407
-23.1731,1,0.194889,2,3,0,25.5049,6.60404,12.639,2.98465,3.09656
-25.1637,0.934201,0.194889,4,15,0,25.597,6.99372,13.8472,2.43184,4.27736
-23.7674,0.957318,0.194889,3,7,0,26.3493,5.9618,13.1206,3.40127,2.62605
-23.032,0.998134,0.194889,5,43,0,24.3773,7.04765,12.0982,2.54267,3.15903
-25.1009,0.87417,0.194889,4,15,0,25.9626,6.12426,11.5213,3.54753,5.16908
-22.948,0.958347,0.194889,3,7,0,26.7491,6.12434,12.4325,2.61102,3.23219
-24.6745,0.913339,0.194889,4,27,0,26.3806,8.03407,11.6626,2.36647,7.02868
-23.5209,0.988848,0.194889,2,7,0,25.2228,8.01593,12.0394,2.86486,4.9271
-23.809,0.80132,0.194889,5,47,0,30.5208,9.25192,11.2304,2.96707,5.10344
-24.6035,0.990079,0.194889,4,15,0,26.5145,10.6349,9.44724,3.14377,4.48307
-23.9231,0.996423,0.194889,5,39,0,25.6629,3.79991,13.1248,3.86551,2.45834
-24.1354,0.972132,0.194889,5,51,0,25.0666,7.09683,12.6771,3.50088,4.42429
-25.0025,0.991462,0.194889,4,27,0,25.5446,7.26085,11.0428,3.90522,3.23311
-24.51,0.984307,0.194889,3,7,0,26.6542,7.59986,10.7592,2.25651,4.38206
-24.0025,0.838996,0.194889,4,31,0,26.398,6.43412,13.5299,2.83009,2.57865
-25.9394,0.798878,0.194889,2,7,0,26.8167,6.38064,13.3461,3.21559,1.90303
-25.5659,1,0.194889,1,1,0,26.2095,6.36175,13.4018,3.21115,1.98667
-24.205,0.984903,0.194889,2,7,0,26.7841,6.23538,13.7482,3.37176,4.16346
-23.0677,0.981069,0.194889,3,15,0,25.6177,5.88147,12.4173,2.8697,3.05765
-24.6797,0.997855,0.194889,5,51,0,25.4255,11.2231,8.84273,2.73924,4.6556
-24.9076,0.994254,0.194889,4,23,0,25.5732,11.0402,10.9454,2.88267,4.62392
-27.4371,0.939466,0.194889,5,31,0,27.8846,13.0231,7.09416,2.32744,5.8185
-26.1732,0.848531,0.194889,3,11,0,29.7698,14.5571,7.78996,2.87698,5.66317
-26.8041,0.850039,0.194889,3,11,0,27.9106,13.9183,7.64744,3.60193,6.01288
-25.8149,0.941508,0.194889,3,7,0,28.0243,14.2353,8.06745,2.64547,5.6422
-24.4725,0.92341,0.194889,4,31,0,28.1203,11.4811,9.72922,2.96838,5.16449
-25.3281,0.954839,0.194889,2,7,0,25.7398,11.3985,9.39695,1.9798,6.90617
-24.5153,0.573369,0.194889,2,7,0,27.7077,11.3582,9.26418,2.40726,4.06897
-24.5048,0.878394,0.194889,3,11,0,26.1252,12.018,9.40393,2.76918,5.0851
-24.1929,0.970116,0.194889,4,15,0,25.1996,11.4911,9.93479,2.45837,4.62906
-25.2742,0.97108,0.194889,4,23,0,26.4458,13.0425,8.90719,2.4496,4.61102
-25.0356,0.857668,0.194889,4,15,0,26.7398,11.8278,8.99947,3.06437,6.11499
-23.4889,0.997429,0.194889,4,31,0,26.8901,9.15427,11.2789,2.33827,5.27206
-23.0345,0.94473,0.194889,5,47,0,25.3675,5.5766,12.7761,2.98292,3.41147
-25.0218,0.969798,0.194889,4,31,0,25.9685,5.27665,15.1285,3.26751,2.59106
-24.0763,0.94835,0.194889,3,7,0,25.7578,4.75258,14.6547,3.4758,3.51202
-24.2172,0.916579,0.194889,5,46,1,24.9965,5.78929,11.7476,2.53874,3.86194
-23.6494,0.93388,0.194889,3,7,0,25.015,6.39779,12.6783,2.08855,3.82067
-24.9358,0.983694,0.194889,4,15,0,27.0336,8.43119,12.8273,2.94537,3.27722
-26.6332,0.772639,0.194889,2,3,0,28.4184,8.37713,12.6046,2.04707,2.60742
-24.9997,0.624658,0.194889,2,7,0,29.6945,8.33206,13.0164,2.9738,4.99485
